Dots,Area,Transcript Density,Genotype,Tissue
473,17274.27022,0.027381765,Exc154 homozygous,Antenna
271,14854.06175,0.018244168,Exc154 homozygous,Antenna
1106,13147.0546,0.084125307,WT,Antenna
252,10228.57541,0.024636862,Exc154 homozygous,Antenna
439,12315.31301,0.035646678,Exc154 homozygous,Antenna
639,14597.5936,0.04377434,Exc154 hemizygous,Antenna
1276,15715.7134,0.08119262,Exc154 hemizygous,Antenna
1102,13541.3793,0.08138019,Exc154 hemizygous,Antenna
1385,15492.5293,0.08939793,Exc154 hemizygous,Antenna
893,13287.3947,0.06720655,Exc154 hemizygous,Antenna
811,15988.0444,0.0507254,Exc154 hemizygous,Antenna
0,1,0,Exc154 hemizygous,Early Pulse
0,1,0,Exc154 hemizygous,Early Pulse
0,1,0,Exc154 hemizygous,Early Pulse
0,1,0,Exc154 hemizygous,Early Pulse
0,1,0,Exc154 hemizygous,Early Pulse
0,1,0,Exc154 hemizygous,Early Pulse
0,1,0,Exc154 homozygous,Early Pulse
0,1,0,Exc154 homozygous,Early Pulse
0,1,0,Exc154 homozygous,Early Pulse
0,1,0,Exc154 homozygous,Early Pulse
0,1,0,Exc154 homozygous,Early Pulse
0,1,0,Exc154 homozygous,Early Pulse
141,7325.793108,0.019247063,Exc154 homozygous,Antenna
657,8674.923206,0.075735541,WT,Antenna
79,2087.317561,0.037847619,WT,Early Pulse
535,9164.138052,0.05837974,WT,Antenna
116,5135.972516,0.022585791,WT,Early Pulse
636,7505.790099,0.084734584,WT,Antenna
80,1898.642251,0.042135373,WT,Early Pulse
833,9713.750868,0.085754721,WT,Antenna
51,4332.538047,0.011771391,WT,Early Pulse
577,8719.311397,0.06617495,WT,Antenna
115,2479.125861,0.046387318,WT,Early Pulse